trade_date,ts_code,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
2018-07-13,000001.SZ,8.88,0.3514,0.7928,0.57,6.5752,6.469,0.7582,1.4413,1.4371,1.7793,3.3108,1717041.1366,1717024.6773,761029.0923,15247325.293,15247179.1344
2018-07-16,000001.SZ,8.73,0.4018,0.9065,0.7,6.4642,6.3597,0.7454,1.417,1.4128,1.8099,3.3677,1717041.1366,1717024.6773,761029.0923,14989769.1225,14989625.4328
2018-07-17,000001.SZ,8.72,0.2186,0.4932,0.45,6.4568,6.3524,0.7445,1.4154,1.4112,1.8119,3.3716,1717041.1366,1717024.6773,761029.0923,14972598.7112,14972455.1861
2018-07-18,000001.SZ,8.7,0.3059,0.6901,0.72,6.442,6.3378,0.7428,1.4121,1.4079,1.8161,3.3793,1717041.1366,1717024.6773,761029.0923,14938257.8884,14938114.6925
2018-07-19,000001.SZ,8.73,0.2687,0.6062,0.69,6.4642,6.3597,0.7454,1.417,1.4128,1.8099,3.3677,1717041.1366,1717024.6773,761029.0923,14989769.1225,14989625.4328
2018-07-20,000001.SZ,9.11,1.0217,2.3051,3.3,6.7455,6.6365,0.7778,1.4787,1.4743,1.7344,3.2272,1717041.1366,1717024.6773,761029.0923,15642244.7544,15642094.8102
2018-07-23,000001.SZ,9.42,1.0377,2.3412,2.34,6.9751,6.8623,0.8043,1.529,1.5245,1.6773,1.4437,1717041.1366,1717024.6773,761029.0923,16174527.5068,16174372.4602
2018-07-24,000001.SZ,9.4,0.8304,1.8736,1.46,6.9603,6.8478,0.8026,1.5257,1.5212,1.6809,1.4468,1717041.1366,1717024.6773,761029.0923,16140186.684,16140031.9666
2018-07-25,000001.SZ,9.38,0.3577,0.807,0.52,6.9455,6.8332,0.8009,1.5225,1.518,1.6844,1.4499,1717041.1366,1717024.6773,761029.0923,16105845.8613,16105691.4731
2018-07-26,000001.SZ,9.25,0.4854,1.095,0.69,6.8492,6.7385,0.7898,1.5014,1.4969,1.7081,1.4703,1717041.1366,1717024.6773,761029.0923,15882630.5136,15882478.265
2018-07-27,000001.SZ,9.25,0.3,0.6769,0.4,6.8492,6.7385,0.7898,1.5014,1.4969,1.7081,1.4703,1717041.1366,1717024.6773,761029.0923,15882630.5136,15882478.265
2018-07-30,000001.SZ,9.39,0.4114,0.9282,0.68,6.9529,6.8405,0.8017,1.5241,1.5196,1.6826,1.4483,1717041.1366,1717024.6773,761029.0923,16123016.2727,16122861.7198
2018-07-31,000001.SZ,9.42,0.4194,0.9463,0.88,6.9751,6.8623,0.8043,1.529,1.5245,1.6773,1.4437,1717041.1366,1717024.6773,761029.0923,16174527.5068,16174372.4602
2018-08-01,000001.SZ,9.15,0.4741,1.0697,1.2,6.7752,6.6656,0.7812,1.4852,1.4808,1.7268,1.4863,1717041.1366,1717024.6773,761029.0923,15710926.3999,15710775.7973
2018-08-02,000001.SZ,8.94,0.5425,1.2239,1.3,6.6197,6.5127,0.7633,1.4511,1.4468,1.7673,1.5213,1717041.1366,1717024.6773,761029.0923,15350347.7612,15350200.6151
2018-08-03,000001.SZ,8.91,0.2775,0.6262,0.65,6.5975,6.4908,0.7607,1.4462,1.4419,1.7733,1.5264,1717041.1366,1717024.6773,761029.0923,15298836.5271,15298689.8747
2018-08-06,000001.SZ,8.94,0.3227,0.728,0.76,6.6197,6.5127,0.7633,1.4511,1.4468,1.7673,1.5213,1717041.1366,1717024.6773,761029.0923,15350347.7612,15350200.6151
2018-08-07,000001.SZ,9.17,0.4021,0.9072,0.99,6.79,6.6802,0.7829,1.4884,1.484,1.723,1.4831,1717041.1366,1717024.6773,761029.0923,15745267.2226,15745116.2908
2018-08-08,000001.SZ,9.05,0.3372,0.7608,0.84,6.7011,6.5928,0.7727,1.4689,1.4646,1.7459,1.5028,1717041.1366,1717024.6773,761029.0923,15539222.2862,15539073.3296
2018-08-09,000001.SZ,9.29,0.4699,1.0601,1.25,6.8788,6.7676,0.7932,1.5079,1.5034,1.7008,1.4639,1717041.1366,1717024.6773,761029.0923,15951312.159,15951159.2521
2018-08-10,000001.SZ,9.23,0.247,0.5574,0.68,6.8344,6.7239,0.7881,1.4981,1.4937,1.7118,1.4735,1717041.1366,1717024.6773,761029.0923,15848289.6908,15848137.7715
2018-08-13,000001.SZ,9.05,0.4767,1.0755,1.34,6.7011,6.5928,0.7727,1.4689,1.4646,1.7459,1.5028,1717041.1366,1717024.6773,761029.0923,15539222.2862,15539073.3296
2018-08-14,000001.SZ,9.0,0.2506,0.5653,0.65,6.6641,6.5564,0.7684,1.4608,1.4565,1.7556,1.5111,1717041.1366,1717024.6773,761029.0923,15453370.2294,15453222.0957
2018-08-15,000001.SZ,8.79,0.3905,0.881,1.1,6.5086,6.4034,0.7505,1.4267,1.4225,1.7975,1.5472,1717041.1366,1717024.6773,761029.0923,15092791.5907,15092646.9135
2018-08-16,000001.SZ,8.78,0.3717,0.8387,1.01,6.5012,6.2797,0.7241,1.4251,1.3837,1.7995,1.549,1717041.1366,1717024.6773,761029.0923,15075621.1793,15075476.6667
2018-08-17,000001.SZ,8.81,0.3783,0.8534,1.09,6.5234,6.3011,0.7266,1.43,1.3884,1.7934,1.5437,1717041.1366,1717024.6773,761029.0923,15127132.4134,15126987.407
2018-08-20,000001.SZ,9.0,0.3968,0.8953,1.06,6.6641,6.437,0.7423,1.4608,1.4183,1.7556,1.5111,1717041.1366,1717024.6773,761029.0923,15453370.2294,15453222.0957
2018-08-21,000001.SZ,9.23,0.7364,1.6615,2.06,6.8344,6.6015,0.7612,1.4981,1.4546,1.7118,1.4735,1717041.1366,1717024.6773,761029.0923,15848289.6908,15848137.7715
2018-08-22,000001.SZ,9.29,0.5722,1.2909,1.26,6.8788,6.6444,0.7662,1.5079,1.464,1.7008,1.4639,1717041.1366,1717024.6773,761029.0923,15951312.159,15951159.2521
2018-08-23,000001.SZ,9.36,0.4246,0.958,0.86,6.9307,6.6945,0.772,1.5192,1.4751,1.688,1.453,1717041.1366,1717024.6773,761029.0923,16071505.0386,16071350.9795
2018-08-24,000001.SZ,10.03,1.7707,3.9951,3.53,7.4268,7.1737,0.8272,1.628,1.5807,1.5753,1.3559,1717041.1366,1717024.6773,761029.0923,17221922.6001,17221757.5133
2018-08-27,000001.SZ,10.43,1.292,2.915,1.66,7.7229,7.4598,0.8602,1.6929,1.6437,1.5149,1.3039,1717041.1366,1717024.6773,761029.0923,17908739.0547,17908567.3842
2018-08-28,000001.SZ,10.29,0.7512,1.6948,0.78,7.6193,7.3597,0.8487,1.6702,1.6216,1.5355,1.3217,1717041.1366,1717024.6773,761029.0923,17668353.2956,17668183.9294
2018-08-29,000001.SZ,10.27,0.5253,1.1851,0.55,7.6045,7.3454,0.847,1.667,1.6185,1.5385,1.3242,1717041.1366,1717024.6773,761029.0923,17634012.4729,17633843.4359
